N J h mean_R_sq err_mean_R_sq mean_R_gyr_sq err_mean_R_gyr_sq mean_e err_mean_e mean_e_sq err_mean_e_sq mean_e_fourth err_mean_e_fourth mean_m err_mean_m mean_m_sq err_mean_m_sq mean_m_fourth err_mean_m_fourth steps
5.000000000000000000e+03 8.419999999999999707e-01 0.000000000000000000e+00 1.100239999999999964e+04 2.931100000000000136e+02 2.492440000000000055e+03 2.548340000000000032e+02 4.322610000000000063e-01 1.354989999999999927e-03 1.884540000000000104e-01 1.206040000000000020e-03 3.675620000000000276e-02 4.915790000000000177e-04 6.098900000000000432e-01 1.101959999999999919e-02 4.300200000000000133e-01 1.138970000000000087e-02 2.502229999999999732e-01 8.875730000000000078e-03 3.200000000000000000e+11
5.000000000000000000e+03 8.449999999999999734e-01 0.000000000000000000e+00 8.233000000000000000e+03 2.003810000000000002e+02 2.600360000000000127e+03 7.438930000000000291e+02 4.080790000000000251e-01 1.024219999999999948e-03 1.678159999999999930e-01 8.809640000000000309e-04 2.905450000000000046e-02 3.328229999999999947e-04 7.191699999999999759e-01 8.359129999999999339e-03 5.567790000000000239e-01 9.711950000000000444e-03 3.647630000000000039e-01 8.727389999999999801e-03 2.900000000000000000e+11
5.000000000000000000e+03 8.479999999999999760e-01 0.000000000000000000e+00 7.583960000000000036e+03 4.842200000000000273e+02 1.962140000000000100e+03 2.094799999999999898e+02 3.950020000000000198e-01 2.230559999999999921e-03 1.572459999999999969e-01 1.883860000000000005e-03 2.552909999999999902e-02 6.934779999999999764e-04 7.375129999999999741e-01 1.676520000000000093e-02 5.871060000000000167e-01 1.891740000000000088e-02 4.041219999999999812e-01 1.664900000000000060e-02 2.700000000000000000e+11
5.000000000000000000e+03 8.509999999999999787e-01 0.000000000000000000e+00 6.485729999999999563e+03 4.974130000000000109e+02 2.708730000000000018e+03 1.168269999999999982e+03 3.765029999999999766e-01 6.947049999999999970e-04 1.426620000000000110e-01 5.369910000000000091e-04 2.089380000000000057e-02 1.712739999999999868e-04 8.062160000000000437e-01 9.315630000000000091e-03 6.746659999999999879e-01 1.075880000000000065e-02 4.957010000000000027e-01 9.848249999999999366e-03 2.450000000000000000e+11
5.000000000000000000e+03 8.539999999999999813e-01 0.000000000000000000e+00 6.672079999999999927e+03 1.049269999999999982e+03 2.660170000000000073e+03 1.148630000000000109e+03 3.657250000000000223e-01 7.758490000000000048e-04 1.345800000000000052e-01 5.957859999999999502e-04 1.857690000000000036e-02 1.828359999999999957e-04 8.210239999999999760e-01 8.869969999999999591e-03 6.997020000000000461e-01 1.096920000000000013e-02 5.313839999999999675e-01 1.086939999999999955e-02 2.400000000000000000e+11
5.000000000000000000e+03 8.569999999999999840e-01 0.000000000000000000e+00 3.154480000000000000e+05 2.476150000000000000e+05 5.865580000000000291e+04 4.605340000000000146e+04 4.218450000000000255e-01 3.990520000000000178e-02 1.899899999999999922e-01 3.860159999999999980e-02 4.727610000000000146e-02 1.998679999999999901e-02 7.140220000000000455e-01 8.253259999999999763e-02 5.844700000000000450e-01 9.454980000000000329e-02 4.343199999999999839e-01 8.987779999999999381e-02 2.700000000000000000e+11
6.000000000000000000e+03 8.269999999999999574e-01 0.000000000000000000e+00 5.669600000000000000e+04 2.545000000000000000e+03 1.024529999999999927e+04 1.923849999999999909e+03 -1.421540000000000026e+00 8.889020000000000081e-04 2.022190000000000154e+00 2.533010000000000036e-03 4.100719999999999921e+00 1.032339999999999994e-02 1.950600000000000112e-01 1.597530000000000000e-03 5.866110000000000074e-02 9.211860000000000534e-04 9.562299999999999273e-03 2.867480000000000267e-04 3.130000000000000000e+11
6.000000000000000000e+03 8.299999999999999600e-01 0.000000000000000000e+00 4.286500000000000000e+04 1.357000000000000000e+03 7.721060000000000400e+03 9.985910000000000082e+02 -1.451040000000000108e+00 1.176540000000000008e-03 2.107250000000000068e+00 3.424850000000000116e-03 4.455129999999999590e+00 1.455509999999999964e-02 2.493160000000000098e-01 3.018830000000000124e-03 9.400989999999999347e-02 2.135639999999999847e-03 2.276399999999999951e-02 9.401999999999999767e-04 2.280000000000000000e+11
6.000000000000000000e+03 8.329999999999999627e-01 0.000000000000000000e+00 3.297000000000000000e+04 9.500000000000000000e+02 6.522319999999999709e+03 1.069630000000000109e+03 -1.482930000000000081e+00 1.587139999999999905e-03 2.200979999999999936e+00 4.712349999999999699e-03 4.860999999999999766e+00 2.082799999999999929e-02 3.166160000000000085e-01 5.505839999999999693e-03 1.455120000000000025e-01 4.347049999999999872e-03 4.785940000000000333e-02 2.253479999999999980e-03 2.210000000000000000e+11
6.000000000000000000e+03 8.359999999999999654e-01 0.000000000000000000e+00 2.454600000000000000e+04 1.232000000000000000e+03 5.570130000000000109e+03 1.362720000000000027e+03 -1.518399999999999972e+00 1.552980000000000029e-03 2.307459999999999845e+00 4.699619999999999839e-03 5.342109999999999914e+00 2.157349999999999893e-02 4.251039999999999819e-01 6.449279999999999943e-03 2.401760000000000006e-01 6.077820000000000271e-03 1.045729999999999993e-01 4.007890000000000064e-03 2.130000000000000000e+11
